,map,regular_time,regular_sum_of_costs,reverse_time_30,reverse_sum_of_costs_30,reverse_time_60,reverse_sum_of_costs_60,reverse_time_120,reverse_sum_of_costs_120,reverse_time_300,reverse_sum_of_costs_300
650,mazes/maze100x100_3_53.txt,1.4560611248016357,387,1.8091483116149902,387,1.8091483116149902,387,1.8091483116149902,387,1.8091483116149902,387
651,mazes/maze100x100_3_52.txt,1.1012487411499023,321,1.1251447200775146,321,1.1251447200775146,321,1.1251447200775146,321,1.1251447200775146,321
652,mazes/maze100x100_3_51.txt,1.4772584438323975,369,1.546581506729126,369,1.546581506729126,369,1.546581506729126,369,1.546581506729126,369
653,mazes/maze100x100_3_50.txt,4.06982159614563,521,21.072879314422607,521,21.072879314422607,521,21.072879314422607,521,21.072879314422607,521
654,mazes/maze100x100_3_5.txt,5.978178977966309,508,24.08804154396057,508,24.08804154396057,508,24.08804154396057,508,24.08804154396057,508
655,mazes/maze100x100_3_49.txt,1.7069430351257324,461,7.022784233093262,461,7.022784233093262,461,7.022784233093262,461,7.022784233093262,461
656,mazes/maze100x100_3_48.txt,1.2006521224975586,321,1.1427412033081055,321,1.1427412033081055,321,1.1427412033081055,321,1.1427412033081055,321
657,mazes/maze100x100_3_47.txt,1.0487992763519287,289,2.858146905899048,289,2.858146905899048,289,2.858146905899048,289,2.858146905899048,289
658,mazes/maze100x100_3_46.txt,1.4945385456085205,324,2.5615718364715576,324,2.5615718364715576,324,2.5615718364715576,324,2.5615718364715576,324
659,mazes/maze100x100_3_45.txt,3.1598246097564697,502,7.213961601257324,502,7.213961601257324,502,7.213961601257324,502,7.213961601257324,502
660,mazes/maze100x100_3_44.txt,2.1168265342712402,387,1.862260341644287,387,1.862260341644287,387,1.862260341644287,387,1.862260341644287,387
661,mazes/maze100x100_3_43.txt,1.912592887878418,353,1.6119866371154785,353,1.6119866371154785,353,1.6119866371154785,353,1.6119866371154785,353
662,mazes/maze100x100_3_42.txt,1.8340826034545898,369,1.676894187927246,369,1.676894187927246,369,1.676894187927246,369,1.676894187927246,369
663,mazes/maze100x100_3_41.txt,3.8405308723449707,523,11.663272619247437,523,11.663272619247437,523,11.663272619247437,523,11.663272619247437,523
664,mazes/maze100x100_3_40.txt,7.089267730712891,689,25.228627681732178,689,26.431922912597656,689,26.431922912597656,689,26.431922912597656,689
665,mazes/maze100x100_3_4.txt,1.573577642440796,415,8.631191492080688,415,8.631191492080688,415,8.631191492080688,415,8.631191492080688,415
666,mazes/maze100x100_3_39.txt,1.3510398864746094,300,1.9019203186035156,300,1.9019203186035156,300,1.9019203186035156,300,1.9019203186035156,300
667,mazes/maze100x100_3_38.txt,1.4166505336761475,390,1.3600060939788818,390,1.3600060939788818,390,1.3600060939788818,390,1.3600060939788818,390
668,mazes/maze100x100_3_37.txt,473.9250226020813,497,31.953006505966187,False,62.25023126602173,497,122.46977472305298,497,302.4463355541229,497
669,mazes/maze100x100_3_36.txt,0.5434222221374512,317,0.5360901355743408,317,0.5360901355743408,317,0.5360901355743408,317,0.5360901355743408,317
670,mazes/maze100x100_3_35.txt,1.3233959674835205,419,1.9505274295806885,419,1.9505274295806885,419,1.9505274295806885,419,1.9505274295806885,419
671,mazes/maze100x100_3_34.txt,2.4982361793518066,400,5.1155686378479,400,5.1155686378479,400,5.1155686378479,400,5.1155686378479,400
672,mazes/maze100x100_3_33.txt,3.1671721935272217,491,3.3101720809936523,491,3.3101720809936523,491,3.3101720809936523,491,3.3101720809936523,491
673,mazes/maze100x100_3_32.txt,2.5996572971343994,418,2.7232208251953125,418,2.7232208251953125,418,2.7232208251953125,418,2.7232208251953125,418
674,mazes/maze100x100_3_31.txt,0.6746015548706055,281,1.7478399276733398,281,1.7478399276733398,281,1.7478399276733398,281,1.7478399276733398,281
675,mazes/maze100x100_3_30.txt,1.2381296157836914,328,1.460345983505249,328,1.460345983505249,328,1.460345983505249,328,1.460345983505249,328
676,mazes/maze100x100_3_3.txt,0.7473936080932617,299,0.7696290016174316,299,0.7696290016174316,299,0.7696290016174316,299,0.7696290016174316,299
677,mazes/maze100x100_3_29.txt,2.216337203979492,412,1.9764976501464844,412,1.9764976501464844,412,1.9764976501464844,412,1.9764976501464844,412
678,mazes/maze100x100_3_28.txt,2.7144460678100586,510,4.891698837280273,510,4.891698837280273,510,4.891698837280273,510,4.891698837280273,510
679,mazes/maze100x100_3_27.txt,2.2512786388397217,401,2.6682674884796143,401,2.6682674884796143,401,2.6682674884796143,401,2.6682674884796143,401
680,mazes/maze100x100_3_26.txt,2.9055771827697754,510,2.9171810150146484,510,2.9171810150146484,510,2.9171810150146484,510,2.9171810150146484,510
681,mazes/maze100x100_3_25.txt,1.1026625633239746,260,2.080784797668457,260,2.080784797668457,260,2.080784797668457,260,2.080784797668457,260
682,mazes/maze100x100_3_24.txt,0.46664905548095703,291,0.44643187522888184,291,0.44643187522888184,291,0.44643187522888184,291,0.44643187522888184,291
683,mazes/maze100x100_3_23.txt,0.8533461093902588,266,0.8076615333557129,266,0.8076615333557129,266,0.8076615333557129,266,0.8076615333557129,266
684,mazes/maze100x100_3_22.txt,1.958561897277832,396,1.9031236171722412,396,1.9031236171722412,396,1.9031236171722412,396,1.9031236171722412,396
685,mazes/maze100x100_3_21.txt,2.391343593597412,305,5.339386224746704,305,5.339386224746704,305,5.339386224746704,305,5.339386224746704,305
686,mazes/maze100x100_3_20.txt,1.1988627910614014,334,1.8008427619934082,334,1.8008427619934082,334,1.8008427619934082,334,1.8008427619934082,334
687,mazes/maze100x100_3_2.txt,2.0859568119049072,411,2.03145170211792,411,2.03145170211792,411,2.03145170211792,411,2.03145170211792,411
688,mazes/maze100x100_3_199.txt,1.5599944591522217,392,1.4631128311157227,392,1.4631128311157227,392,1.4631128311157227,392,1.4631128311157227,392
689,mazes/maze100x100_3_198.txt,2.4845118522644043,431,2.4278759956359863,431,2.4278759956359863,431,2.4278759956359863,431,2.4278759956359863,431
690,mazes/maze100x100_3_197.txt,2.398566484451294,491,2.629634141921997,491,2.629634141921997,491,2.629634141921997,491,2.629634141921997,491
691,mazes/maze100x100_3_196.txt,0.5553686618804932,221,0.6561591625213623,221,0.6561591625213623,221,0.6561591625213623,221,0.6561591625213623,221
692,mazes/maze100x100_3_195.txt,2.2093334197998047,409,1.946727991104126,409,1.946727991104126,409,1.946727991104126,409,1.946727991104126,409
693,mazes/maze100x100_3_194.txt,3.284198760986328,463,3.1279783248901367,463,3.1279783248901367,463,3.1279783248901367,463,3.1279783248901367,463
694,mazes/maze100x100_3_193.txt,0.9669265747070312,317,3.301687240600586,317,3.301687240600586,317,3.301687240600586,317,3.301687240600586,317
695,mazes/maze100x100_3_192.txt,3.863459825515747,502,12.979925870895386,502,12.979925870895386,502,12.979925870895386,502,12.979925870895386,502
696,mazes/maze100x100_3_191.txt,1.1585283279418945,385,1.184579849243164,385,1.184579849243164,385,1.184579849243164,385,1.184579849243164,385
697,mazes/maze100x100_3_190.txt,1.7421975135803223,290,6.456440687179565,290,6.456440687179565,290,6.456440687179565,290,6.456440687179565,290
698,mazes/maze100x100_3_19.txt,1.5825212001800537,374,1.6903986930847168,374,1.6903986930847168,374,1.6903986930847168,374,1.6903986930847168,374
699,mazes/maze100x100_3_189.txt,1.4936981201171875,381,1.4039604663848877,381,1.4039604663848877,381,1.4039604663848877,381,1.4039604663848877,381
700,mazes/maze100x100_3_188.txt,2.8144240379333496,455,6.23444128036499,455,6.23444128036499,455,6.23444128036499,455,6.23444128036499,455
701,mazes/maze100x100_3_187.txt,1.7627530097961426,440,2.0594282150268555,440,2.0594282150268555,440,2.0594282150268555,440,2.0594282150268555,440
702,mazes/maze100x100_3_186.txt,5.268162727355957,606,4.898439645767212,606,4.898439645767212,606,4.898439645767212,606,4.898439645767212,606
703,mazes/maze100x100_3_185.txt,2.551645278930664,405,3.6820974349975586,405,3.6820974349975586,405,3.6820974349975586,405,3.6820974349975586,405
704,mazes/maze100x100_3_184.txt,0.7187402248382568,304,2.672982692718506,304,2.672982692718506,304,2.672982692718506,304,2.672982692718506,304
705,mazes/maze100x100_3_183.txt,3.199897050857544,447,2.876187324523926,447,2.876187324523926,447,2.876187324523926,447,2.876187324523926,447
706,mazes/maze100x100_3_182.txt,1.2623257637023926,312,1.3744382858276367,312,1.3744382858276367,312,1.3744382858276367,312,1.3744382858276367,312
707,mazes/maze100x100_3_181.txt,4.214810848236084,646,8.986869812011719,646,8.986869812011719,646,8.986869812011719,646,8.986869812011719,646
708,mazes/maze100x100_3_180.txt,2.9541594982147217,405,8.932369470596313,405,8.932369470596313,405,8.932369470596313,405,8.932369470596313,405
709,mazes/maze100x100_3_18.txt,1.2602531909942627,396,1.2887752056121826,396,1.2887752056121826,396,1.2887752056121826,396,1.2887752056121826,396
710,mazes/maze100x100_3_179.txt,1.9020576477050781,386,3.4782207012176514,386,3.4782207012176514,386,3.4782207012176514,386,3.4782207012176514,386
711,mazes/maze100x100_3_178.txt,4.183780193328857,511,9.795005321502686,511,9.795005321502686,511,9.795005321502686,511,9.795005321502686,511
712,mazes/maze100x100_3_177.txt,2.344313144683838,466,2.7771430015563965,466,2.7771430015563965,466,2.7771430015563965,466,2.7771430015563965,466
713,mazes/maze100x100_3_176.txt,1.133345365524292,299,4.67881178855896,299,4.67881178855896,299,4.67881178855896,299,4.67881178855896,299
714,mazes/maze100x100_3_175.txt,0.040265798568725586,108,0.04232597351074219,108,0.04232597351074219,108,0.04232597351074219,108,0.04232597351074219,108
715,mazes/maze100x100_3_174.txt,0.8297724723815918,305,0.8952760696411133,305,0.8952760696411133,305,0.8952760696411133,305,0.8952760696411133,305
716,mazes/maze100x100_3_173.txt,0.26937007904052734,172,0.25297117233276367,172,0.25297117233276367,172,0.25297117233276367,172,0.25297117233276367,172
717,mazes/maze100x100_3_172.txt,1.1622638702392578,339,1.1217930316925049,339,1.1217930316925049,339,1.1217930316925049,339,1.1217930316925049,339
718,mazes/maze100x100_3_171.txt,1.0442357063293457,282,0.9793214797973633,282,0.9793214797973633,282,0.9793214797973633,282,0.9793214797973633,282
719,mazes/maze100x100_3_170.txt,3.2503654956817627,445,18.019591093063354,445,18.019591093063354,445,18.019591093063354,445,18.019591093063354,445
720,mazes/maze100x100_3_17.txt,2.0160393714904785,427,10.275715112686157,427,10.275715112686157,427,10.275715112686157,427,10.275715112686157,427
721,mazes/maze100x100_3_169.txt,2.4268760681152344,447,7.2796008586883545,447,7.2796008586883545,447,7.2796008586883545,447,7.2796008586883545,447
722,mazes/maze100x100_3_168.txt,0.24431943893432617,241,0.24619150161743164,241,0.24619150161743164,241,0.24619150161743164,241,0.24619150161743164,241
